,first_reporting
66936,ZTF
67025,ZTF
67271,ATLAS
67455,ATLAS
67477,ATLAS
67482,ATLAS
67485,ASAS-SN
67547,ATLAS
67568,ATLAS
67631,ZTF
67721,DLT40
67744,GaiaAlerts
67824,ZTF
67935,ZTF
67955,ATLAS
67958,ATLAS
68081,ATLAS
68109,ATLAS
68200,ZTF
68203,ATLAS
68229,ASAS-SN
68253,ZTF
68258,ZTF
68343,ZTF
68498,ZTF
68499,ZTF
68526,ATLAS
68544,ZTF
68558,ZTF
68678,ZTF
68684,ZTF
68724,ZTF
68952,ZTF
68955,ATLAS
69000,ZTF
69045,MASTER
69047,ATLAS
69960,Pan-STARRS
70263,GaiaAlerts
70313,ATLAS
70314,ZTF
70985,GaiaAlerts
70992,Pan-STARRS
71036,ASAS-SN
71388,ZTF
71469,ATLAS
71569,PSH
71571,ZTF
71576,ZTF
71618,ATLAS
71693,ZTF
71761,ASAS-SN
71796,ZTF
71803,Pan-STARRS
71888,ZTF
71934,ATLAS
72127,ASAS-SN
72131,ASAS-SN
72195,ATLAS
72198,ZTF
72293,ASAS-SN
72419,ATLAS
72434,ATLAS
72435,ATLAS
72436,Pan-STARRS
72445,ASAS-SN
72475,ATLAS
72525,ATLAS
72556,ASAS-SN
72649,ATLAS
73004,ZTF
73091,ZTF
73166,ATLAS
73167,ATLAS
73172,GaiaAlerts
73200,ZTF
73249,ZTF
73281,Pan-STARRS
73384,ATLAS
73490,ZTF
73498,DLT40
73499,ATLAS
73559,ATLAS
73599,ZTF
73613,ATLAS
73618,ASAS-SN
73672,ZTF
73734,ATLAS
73781,GaiaAlerts
73819,ZTF
73837,ZTF
73950,Pan-STARRS
73993,ZTF
74049,ATLAS
74064,MASTER
74086,ATLAS
74114,ATLAS
74171,ZTF
74175,ZTF
74228,ZTF
74266,ZTF
74303,ZTF
74454,ZTF
74529,ATLAS
74530,ATLAS
74540,ZTF
74543,ATLAS
74596,ZTF
74597,ZTF
74732,ASAS-SN
74747,ATLAS
74931,ATLAS
75132,ZTF
75146,ZTF
75147,ZTF
75197,ATLAS
75334,ATLAS
75337,ATLAS
75400,ZTF
75409,Pan-STARRS
75644,ATLAS
75645,DLT40
75646,ZTF
76047,ZTF
76125,ATLAS
76221,ZTF
76254,GaiaAlerts
76343,ATLAS
76414,GaiaAlerts
76525,ZTF
76536,GaiaAlerts
76586,ZTF
76640,ZTF
76645,ZTF
76700,MASTER
76703,LOSS
76756,ATLAS
76854,ATLAS
76952,ZTF
76988,ZTF
76989,ZTF
77020,ZTF
77065,ASAS-SN
77068,ZTF
77069,ZTF
77152,ATLAS
77167,GaiaAlerts
77499,ATLAS
77508,ATLAS
77538,ZTF
77555,ATLAS
77670,ASAS-SN
77673,ZTF
77699,GaiaAlerts
77749,ZTF
77821,GaiaAlerts
78042,MASTER
78052,ZTF
78053,ZTF
78454,ASAS-SN
78579,GaiaAlerts
78601,ZTF
78705,ZTF
79138,ASAS-SN
79177,ATLAS
79208,ZTF
79370,ZTF
79529,ATLAS
79619,ATLAS
79675,ZTF
79726,GaiaAlerts
79971,ASAS-SN
79972,ASAS-SN
80026,ATLAS
80027,ATLAS
80205,ATLAS
80249,ATLAS
80351,ZTF
81528,POSS
81543,SAGUARO
81597,BOSS
81635,GaiaAlerts
81676,GaiaAlerts
81710,ASAS-SN
81744,ATLAS
81777,ATLAS
81792,ZTF
81826,ATLAS
81854,ASAS-SN
81916,ZTF
81995,ATLAS
82075,ZTF
82080,ATLAS
82089,ATLAS
82112,ATLAS
82155,ZTF
82160,ZTF
82168,ATLAS
